DATE,JTS3400JOL
2000-12-01,124
2001-01-01,141
2001-02-01,139
2001-03-01,187
2001-04-01,118
2001-05-01,110
2001-06-01,120
2001-07-01,117
2001-08-01,115
2001-09-01,117
2001-10-01,110
2001-11-01,106
2001-12-01,86
2002-01-01,101
2002-02-01,109
2002-03-01,104
2002-04-01,102
2002-05-01,91
2002-06-01,97
2002-07-01,89
2002-08-01,84
2002-09-01,95
2002-10-01,72
2002-11-01,92
2002-12-01,89
2003-01-01,84
2003-02-01,74
2003-03-01,73
2003-04-01,78
2003-05-01,87
2003-06-01,85
2003-07-01,76
2003-08-01,83
2003-09-01,71
2003-10-01,84
2003-11-01,85
2003-12-01,102
2004-01-01,95
2004-02-01,91
2004-03-01,96
2004-04-01,103
2004-05-01,111
2004-06-01,94
2004-07-01,106
2004-08-01,103
2004-09-01,92
2004-10-01,98
2004-11-01,87
2004-12-01,88
2005-01-01,94
2005-02-01,92
2005-03-01,109
2005-04-01,82
2005-05-01,80
2005-06-01,87
2005-07-01,98
2005-08-01,90
2005-09-01,102
2005-10-01,72
2005-11-01,127
2005-12-01,102
2006-01-01,89
2006-02-01,110
2006-03-01,114
2006-04-01,127
2006-05-01,106
2006-06-01,123
2006-07-01,93
2006-08-01,134
2006-09-01,121
2006-10-01,128
2006-11-01,112
2006-12-01,114
2007-01-01,124
2007-02-01,122
2007-03-01,140
2007-04-01,132
2007-05-01,146
2007-06-01,131
2007-07-01,127
2007-08-01,112
2007-09-01,131
2007-10-01,116
2007-11-01,130
2007-12-01,140
2008-01-01,118
2008-02-01,124
2008-03-01,110
2008-04-01,110
2008-05-01,114
2008-06-01,92
2008-07-01,100
2008-08-01,105
2008-09-01,90
2008-10-01,103
2008-11-01,83
2008-12-01,72
2009-01-01,62
2009-02-01,63
2009-03-01,57
2009-04-01,47
2009-05-01,44
2009-06-01,54
2009-07-01,48
2009-08-01,59
2009-09-01,58
2009-10-01,61
2009-11-01,73
2009-12-01,87
2010-01-01,67
2010-02-01,62
2010-03-01,62
2010-04-01,68
2010-05-01,63
2010-06-01,73
2010-07-01,76
2010-08-01,55
2010-09-01,56
2010-10-01,56
2010-11-01,65
2010-12-01,62
2011-01-01,77
2011-02-01,74
2011-03-01,72
2011-04-01,83
2011-05-01,74
2011-06-01,61
2011-07-01,71
2011-08-01,67
2011-09-01,79
2011-10-01,73
2011-11-01,70
2011-12-01,83
2012-01-01,71
2012-02-01,78
2012-03-01,123
2012-04-01,98
2012-05-01,97
2012-06-01,112
2012-07-01,88
2012-08-01,112
2012-09-01,107
2012-10-01,106
2012-11-01,90
2012-12-01,85
2013-01-01,96
2013-02-01,104
2013-03-01,84
2013-04-01,87
2013-05-01,94
2013-06-01,78
2013-07-01,99
2013-08-01,91
2013-09-01,91
2013-10-01,116
2013-11-01,145
2013-12-01,114
2014-01-01,94
2014-02-01,123
2014-03-01,125
2014-04-01,103
2014-05-01,119
2014-06-01,129
2014-07-01,104
2014-08-01,136
2014-09-01,125
2014-10-01,105
2014-11-01,125
2014-12-01,116
2015-01-01,122
2015-02-01,115
2015-03-01,125
2015-04-01,123
2015-05-01,131
2015-06-01,115
2015-07-01,139
2015-08-01,122
2015-09-01,130
2015-10-01,133
2015-11-01,126
2015-12-01,148
2016-01-01,145
2016-02-01,155
2016-03-01,161
2016-04-01,192
2016-05-01,168
2016-06-01,166
2016-07-01,146
2016-08-01,142
2016-09-01,139
2016-10-01,115
2016-11-01,150
2016-12-01,167
2017-01-01,159
2017-02-01,166
2017-03-01,168
2017-04-01,172
2017-05-01,152
2017-06-01,175
2017-07-01,191
2017-08-01,178
2017-09-01,160
2017-10-01,168
2017-11-01,176
2017-12-01,159
2018-01-01,180
2018-02-01,166
2018-03-01,169
2018-04-01,162
2018-05-01,164
2018-06-01,171
2018-07-01,178
2018-08-01,207
2018-09-01,174
2018-10-01,190
2018-11-01,202
2018-12-01,157
2019-01-01,149
2019-02-01,172
2019-03-01,149
2019-04-01,166
2019-05-01,182
2019-06-01,185
2019-07-01,173
2019-08-01,154
2019-09-01,181
2019-10-01,148
2019-11-01,143
2019-12-01,157
2020-01-01,158
2020-02-01,148
2020-03-01,136
2020-04-01,135
2020-05-01,131
2020-06-01,162
2020-07-01,179
2020-08-01,213
2020-09-01,209
2020-10-01,230
2020-11-01,255
2020-12-01,206
2021-01-01,230
2021-02-01,285
2021-03-01,354
2021-04-01,353
2021-05-01,396
2021-06-01,386
2021-07-01,364
2021-08-01,370
2021-09-01,375
2021-10-01,398
2021-11-01,348
2021-12-01,389
2022-01-01,355
2022-02-01,326
2022-03-01,339
2022-04-01,356
2022-05-01,308
2022-06-01,307
2022-07-01,354
2022-08-01,312
2022-09-01,326
2022-10-01,260
2022-11-01,312
2022-12-01,259
2023-01-01,251
2023-02-01,241
2023-03-01,260
2023-04-01,259
2023-05-01,228
2023-06-01,208
2023-07-01,170
2023-08-01,219
2023-09-01,253
2023-10-01,213
2023-11-01,176
2023-12-01,179
2024-01-01,248
2024-02-01,208
2024-03-01,191
2024-04-01,157
2024-05-01,175
2024-06-01,163
2024-07-01,164
